No,name,ISIN_Code,start_day,category,industry,CFICode,note
70005X,精華元大66展02,TW16Z70005X5,2016/12/19,上櫃,,RWSCCE,
70006X,良維元大6C展02,TW17Z70006X2,2017/06/19,上櫃,,RWSCCE,
700576,三貝德凱基8A購01,TW18Z7005762,2018/10/19,上櫃,,RWSCCA,
700577,大中凱基8A購01,TW18Z7005770,2018/10/19,上櫃,,RWSCCA,
700587,碩禾凱基8A購01,TW18Z7005879,2018/10/19,上櫃,,RWSCCA,
700636,三貝德凱基8A購02,TW18Z7006364,2018/10/24,上櫃,,RWSCCA,
700820,大宇資國泰8B購01,TW18Z7008204,2018/11/02,上櫃,,RWSCCA,
701079,金居富邦89購01,TW18Z7010796,2018/11/21,上櫃,,RWSCCA,
701189,中美晶國泰8B購01,TW18Z7011893,2018/11/29,上櫃,,RWSCCA,
701223,信昌電中信8A購01,TW18Z7012230,2018/12/03,上櫃,,RWSCCE,
701252,美琪瑪群益8A購01,TW18Z7012529,2018/12/05,上櫃,,RWSCCA,
701389,VHQ中信8A購01,TW18Z7013899,2018/12/13,上櫃,,RWSCCE,
701434,環球晶統一89購02,TW18Z7014343,2018/12/18,上櫃,,RWSCCA,
701468,美琪瑪元大89購01,TW18Z7014681,2018/12/19,上櫃,,RWSCCA,
701483,中美晶元大89購01,TW18Z7014830,2018/12/20,上櫃,,RWSCCA,
701495,合晶中信89購01,TW18Z7014954,2018/12/21,上櫃,,RWSCCE,
701496,泰博中信89購01,TW18Z7014962,2018/12/21,上櫃,,RWSCCE,
701502,昂寶元大89購01,TW18Z7015027,2018/12/21,上櫃,,RWSCCA,
701533,VHQ中信8A購02,TW18Z7015332,2018/12/24,上櫃,,RWSCCE,
701549,立敦元大89購01,TW18Z7015498,2018/12/26,上櫃,,RWSCCA,
701557,環球晶中信8B購01,TW18Z7015571,2018/12/26,上櫃,,RWSCCE,
701574,勝麗中信89購01,TW18Z7015746,2018/12/28,上櫃,,RWSCCE,
701580,大江元大89購01,TW18Z7015803,2018/12/28,上櫃,,RWSCCA,
701591,環球晶統一8A購01,TW19Z7015918,2019/01/02,上櫃,,RWSCCA,
701594,頎邦中信8A購01,TW19Z7015942,2019/01/02,上櫃,,RWSCCE,
701596,大宇資元大8A購01,TW19Z7015967,2019/01/02,上櫃,,RWSCCA,
701597,昂寶元大8A購01,TW19Z7015975,2019/01/02,上櫃,,RWSCCA,
701598,是方元大8A購01,TW19Z7015983,2019/01/02,上櫃,,RWSCCA,
701599,是方元大8A購02,TW19Z7015991,2019/01/02,上櫃,,RWSCCA,
701600,翔名元大8A購01,TW19Z7016007,2019/01/02,上櫃,,RWSCCA,
701601,萬潤元大8A購01,TW19Z7016015,2019/01/02,上櫃,,RWSCCA,
701602,廣明元大8A購01,TW19Z7016023,2019/01/02,上櫃,,RWSCCA,
701603,應華元大8A購01,TW19Z7016031,2019/01/02,上櫃,,RWSCCA,
701619,千附元大8A購01,TW19Z7016197,2019/01/03,上櫃,,RWSCCA,
701620,中美晶元大8A購01,TW19Z7016205,2019/01/03,上櫃,,RWSCCA,
701621,合晶元大8A購01,TW19Z7016213,2019/01/03,上櫃,,RWSCCA,
701733,美琪瑪元大8A購01,TW19Z7017336,2019/01/09,上櫃,,RWSCCA,
701735,中美晶中信8A購01,TW19Z7017351,2019/01/09,上櫃,,RWSCCE,
701751,立敦群益8A購01,TW19Z7017518,2019/01/10,上櫃,,RWSCCA,
701782,合晶元大8A購03,TW19Z7017823,2019/01/11,上櫃,,RWSCCA,
701783,牧德元大8A購01,TW19Z7017831,2019/01/11,上櫃,,RWSCCA,
701787,宣德第一89購01,TW19Z7017872,2019/01/14,上櫃,,RWSCCA,
701795,金可凱基8A購01,TW19Z7017955,2019/01/14,上櫃,,RWSCCA,
701800,良維元大8A購01,TW19Z7018003,2019/01/14,上櫃,,RWSCCA,
701801,昂寶元大89購02,TW19Z7018011,2019/01/14,上櫃,,RWSCCA,
701812,緯軟國泰89購01,TW19Z7018128,2019/01/14,上櫃,,RWSCCA,
